Timestamp,Temperature,Vibration,Motor_Current,Pressure,RPM,Flow_Rate,Oil_Temperature,Power_Consumption,Machine_Health,Machine_Status,Remaining_Useful_Life_Days
2026-09-22 11:11:52,62.0,0.18,7.87,5.14,1748.72,148.99,43.71,14.35,99.7,Healthy,374
2026-09-23 11:11:52,61.97,0.18,7.89,5.09,1755.66,151.04,43.56,14.79,99.7,Healthy,373
2026-09-24 11:11:52,61.7,0.18,7.91,5.16,1748.85,151.64,43.57,14.49,99.6,Healthy,372
2026-09-25 11:11:52,61.61,0.21,7.91,5.13,1753.79,151.96,43.46,14.72,99.6,Healthy,371
2026-09-26 11:11:52,62.05,0.23,7.85,5.09,1750.62,152.68,43.88,14.42,99.4,Healthy,370
2026-09-27 11:11:52,61.82,0.16,7.82,5.12,1749.56,151.28,43.8,14.9,99.4,Healthy,369
2026-09-28 11:11:52,61.47,0.21,7.85,5.19,1748.99,153.51,43.29,14.64,99.4,Healthy,368
2026-09-29 11:11:52,62.14,0.16,7.86,5.18,1747.65,152.08,44.1,14.22,99.3,Healthy,367
2026-09-30 11:11:52,61.67,0.18,7.78,5.23,1750.7,150.34,43.75,14.18,99.3,Healthy,366
2026-10-01 11:11:52,61.31,0.17,7.84,5.11,1751.33,151.9,43.89,14.43,99.3,Healthy,365
2026-10-02 11:11:52,61.05,0.16,7.86,5.1,1747.2,152.0,43.68,14.32,99.3,Healthy,364
2026-10-03 11:11:52,61.6,0.18,8.03,5.12,1751.82,152.85,43.69,14.78,99.2,Healthy,363
2026-10-04 11:11:52,61.71,0.18,7.78,5.02,1751.47,150.38,43.68,14.41,99.2,Healthy,362
2026-10-05 11:11:52,61.75,0.16,7.81,5.03,1748.77,153.27,43.71,14.18,99.2,Healthy,361
2026-10-06 11:11:52,61.59,0.12,7.75,5.04,1748.06,152.81,43.26,14.24,99.1,Healthy,360
2026-10-07 11:11:52,61.58,0.2,7.86,5.17,1747.97,153.28,43.15,14.5,99.1,Healthy,359
2026-10-08 11:11:52,61.83,0.21,7.88,5.0,1749.35,151.55,43.84,14.59,99.1,Healthy,358
2026-10-09 11:11:52,61.83,0.21,7.84,5.09,1750.44,150.73,43.87,14.34,99.0,Healthy,357
2026-10-10 11:11:52,61.59,0.21,7.83,5.03,1750.6,151.03,43.5,14.31,99.0,Healthy,356
2026-10-11 11:11:52,62.25,0.2,7.91,5.1,1749.31,150.21,43.82,14.73,98.9,Healthy,355
2026-10-12 11:11:52,61.58,0.18,7.86,5.22,1753.52,152.71,43.43,14.74,98.8,Healthy,354
2026-10-13 11:11:52,62.42,0.19,7.9,5.05,1752.42,148.49,44.35,14.92,98.6,Healthy,353
2026-10-14 11:11:52,61.88,0.15,7.86,5.15,1752.39,150.9,43.45,14.21,98.6,Healthy,352
2026-10-15 11:11:52,61.91,0.19,7.96,5.07,1753.28,151.42,43.41,14.47,98.6,Healthy,351
2026-10-16 11:11:52,61.5,0.13,7.85,5.05,1753.75,150.55,43.37,14.41,98.6,Healthy,350
2026-10-17 11:11:52,61.06,0.23,7.85,5.1,1752.71,150.06,43.53,14.63,98.5,Healthy,349
2026-10-18 11:11:52,61.41,0.26,7.9,5.11,1750.03,148.65,43.69,14.44,98.5,Healthy,348
2026-10-19 11:11:52,61.41,0.17,7.85,5.05,1749.08,152.03,44.06,14.19,98.5,Healthy,347
2026-10-20 11:11:52,60.93,0.18,7.89,5.14,1749.62,151.1,43.81,14.19,98.4,Healthy,346
2026-10-21 11:11:52,60.7,0.2,7.78,5.03,1750.85,150.13,43.55,14.57,98.4,Healthy,345
2026-10-22 11:11:52,61.12,0.2,7.84,5.16,1750.39,151.62,43.56,14.37,98.4,Healthy,344
2026-10-23 11:11:52,61.1,0.15,7.83,5.09,1753.08,151.73,43.64,14.64,98.3,Healthy,343
2026-10-24 11:11:52,61.58,0.18,7.79,5.15,1748.19,151.51,43.59,14.52,98.3,Healthy,342
2026-10-25 11:11:52,62.05,0.19,7.99,5.01,1747.12,149.45,44.24,14.95,98.3,Healthy,341
2026-10-26 11:11:52,61.88,0.21,7.96,5.18,1748.35,150.54,43.8,14.75,98.2,Healthy,340
2026-10-27 11:11:52,61.34,0.16,7.94,5.04,1746.14,151.23,43.65,14.07,98.2,Healthy,339
2026-10-28 11:11:52,61.76,0.18,7.87,5.03,1747.87,151.36,43.74,14.42,98.2,Healthy,338
2026-10-29 11:11:52,61.54,0.15,7.93,5.16,1751.67,151.99,43.49,14.55,98.1,Healthy,337
2026-10-30 11:11:52,61.9,0.2,7.86,5.12,1747.24,152.27,43.8,14.44,98.1,Healthy,336
2026-10-31 11:11:52,61.63,0.17,7.85,5.11,1751.5,151.45,43.66,14.45,98.1,Healthy,335
2026-11-01 11:11:52,61.4,0.19,7.77,5.16,1746.6,152.38,43.71,14.42,98.0,Healthy,334
2026-11-02 11:11:52,61.43,0.18,7.73,5.06,1747.45,149.83,43.86,14.09,98.0,Healthy,333
2026-11-03 11:11:52,61.4,0.2,7.9,5.09,1753.65,151.69,43.58,14.75,98.0,Healthy,332
2026-11-04 11:11:52,61.77,0.21,7.89,5.2,1751.54,150.67,43.4,14.69,97.9,Healthy,331
2026-11-05 11:11:52,61.4,0.19,7.78,5.12,1750.52,150.93,43.57,14.67,97.9,Healthy,330
2026-11-06 11:11:52,61.86,0.17,7.93,5.32,1751.05,149.78,44.12,15.03,97.9,Healthy,329
2026-11-07 11:11:52,61.24,0.2,7.81,5.13,1753.04,148.77,43.74,14.46,97.8,Healthy,328
2026-11-08 11:11:52,61.43,0.16,7.84,5.08,1753.07,150.23,43.29,14.84,97.8,Healthy,327
2026-11-09 11:11:52,61.42,0.17,7.92,5.07,1752.66,150.19,43.88,15.2,97.8,Healthy,326
2026-11-10 11:11:52,61.86,0.2,7.92,5.21,1753.67,149.93,43.78,14.94,97.8,Healthy,325
2026-11-11 11:11:52,62.46,0.17,7.95,5.13,1755.4,150.03,44.03,14.88,97.6,Healthy,324
2026-11-12 11:11:52,61.97,0.22,7.88,5.04,1755.84,148.39,43.3,14.7,97.6,Healthy,323
2026-11-13 11:11:52,61.53,0.15,7.81,5.07,1752.23,150.04,43.72,14.16,97.6,Healthy,322
2026-11-14 11:11:52,62.09,0.19,7.98,5.02,1755.03,150.44,43.56,14.82,97.5,Healthy,321
2026-11-15 11:11:52,62.03,0.18,7.89,5.05,1749.05,152.13,43.98,14.57,97.5,Healthy,320
2026-11-16 11:11:52,62.04,0.23,7.94,5.05,1749.43,151.33,43.94,14.91,97.5,Healthy,319
2026-11-17 11:11:52,61.69,0.19,7.88,5.09,1749.75,150.6,44.23,14.97,97.4,Healthy,318
2026-11-18 11:11:52,62.21,0.16,7.85,5.07,1752.33,152.66,43.88,14.79,97.4,Healthy,317
2026-11-19 11:11:52,61.7,0.18,7.83,5.05,1752.59,151.7,43.63,14.67,97.4,Healthy,316
2026-11-20 11:11:52,61.72,0.18,7.8,5.14,1748.82,149.52,43.59,14.77,97.3,Healthy,315
2026-11-21 11:11:52,61.42,0.17,7.84,5.15,1749.74,152.43,43.64,14.52,97.3,Healthy,314
2026-11-22 11:11:52,61.15,0.16,7.95,5.07,1750.44,152.67,43.8,14.73,97.3,Healthy,313
2026-11-23 11:11:52,61.19,0.18,7.81,5.11,1750.8,152.22,43.79,14.79,97.2,Healthy,312
2026-11-24 11:11:52,61.55,0.17,7.86,5.03,1747.59,153.83,43.48,14.32,97.2,Healthy,311
2026-11-25 11:11:52,62.19,0.14,7.85,5.2,1754.73,153.8,44.08,14.69,97.2,Healthy,310
2026-11-26 11:11:52,61.24,0.18,7.94,5.19,1747.21,150.8,43.82,14.45,97.1,Healthy,309
2026-11-27 11:11:52,61.82,0.19,7.96,5.12,1749.49,152.03,43.77,14.75,97.1,Healthy,308
2026-11-28 11:11:52,62.04,0.17,7.91,5.06,1754.36,150.21,43.8,14.81,97.1,Healthy,307
2026-11-29 11:11:52,62.47,0.17,8.04,5.23,1749.97,152.4,44.28,14.83,97.0,Healthy,306
2026-11-30 11:11:52,61.94,0.15,7.9,5.17,1749.12,153.39,43.8,14.48,96.9,Healthy,305
2026-12-01 11:11:52,62.09,0.22,7.94,4.99,1751.17,152.46,43.81,15.22,96.9,Healthy,304
2026-12-02 11:11:52,61.85,0.16,7.76,5.08,1756.88,150.94,43.83,14.39,96.9,Healthy,303
2026-12-03 11:11:52,61.4,0.18,7.85,5.13,1753.12,150.84,43.72,14.81,96.8,Healthy,302
2026-12-04 11:11:52,61.74,0.17,7.75,4.98,1751.95,149.2,43.75,14.68,96.8,Healthy,301
2026-12-05 11:11:52,61.49,0.18,7.9,5.11,1749.37,147.39,43.75,14.31,96.8,Healthy,300
2026-12-06 11:11:52,61.4,0.16,7.87,5.06,1750.19,151.43,43.5,14.55,96.8,Healthy,299
2026-12-07 11:11:52,61.58,0.15,7.94,5.13,1750.69,152.35,43.46,14.85,96.7,Healthy,298
2026-12-08 11:11:52,61.34,0.14,7.79,5.16,1750.38,148.47,43.79,14.66,96.7,Healthy,297
2026-12-09 11:11:52,61.97,0.16,7.93,5.1,1751.81,151.58,43.99,14.8,96.7,Healthy,296
2026-12-10 11:11:52,61.55,0.2,7.79,5.08,1752.06,149.43,44.03,14.53,96.6,Healthy,295
2026-12-11 11:11:52,61.39,0.2,7.92,5.11,1756.1,150.47,43.25,14.81,96.6,Healthy,294
2026-12-12 11:11:52,61.62,0.17,7.86,5.18,1749.62,149.71,43.63,14.36,96.6,Healthy,293
2026-12-13 11:11:52,61.85,0.17,7.76,4.99,1752.92,149.38,44.36,14.25,96.5,Healthy,292
2026-12-14 11:11:52,61.72,0.2,7.84,5.18,1752.22,150.45,44.07,14.25,96.5,Healthy,291
2026-12-15 11:11:52,61.93,0.19,7.83,5.1,1752.49,152.89,44.13,14.4,96.5,Healthy,290
2026-12-16 11:11:52,60.96,0.18,7.94,5.25,1749.17,149.93,43.75,14.43,96.4,Healthy,289
2026-12-17 11:11:52,61.65,0.22,7.84,5.12,1748.23,147.88,43.85,14.66,96.4,Healthy,288
2026-12-18 11:11:52,61.89,0.14,7.93,5.05,1748.26,151.09,44.02,14.46,96.4,Healthy,287
2026-12-19 11:11:52,62.16,0.12,7.85,5.14,1753.46,151.11,43.68,14.51,96.3,Healthy,286
2026-12-20 11:11:52,61.34,0.19,7.83,5.06,1755.78,151.82,43.43,14.37,96.3,Healthy,285
2026-12-21 11:11:52,62.0,0.18,7.84,5.02,1752.42,151.29,43.68,14.32,96.3,Healthy,284
2026-12-22 11:11:52,62.06,0.2,8.03,5.11,1751.3,152.02,43.68,14.96,96.2,Healthy,283
2026-12-23 11:11:52,61.68,0.16,7.82,5.13,1752.31,151.49,43.44,14.38,96.2,Healthy,282
2026-12-24 11:11:52,61.78,0.16,7.93,5.04,1752.16,152.02,43.54,14.81,96.2,Healthy,281
2026-12-25 11:11:52,61.82,0.2,7.93,5.12,1751.32,152.34,44.07,14.65,96.1,Healthy,280
2026-12-26 11:11:52,61.56,0.21,7.81,5.15,1753.06,150.33,43.81,14.33,96.1,Healthy,279
2026-12-27 11:11:52,61.38,0.22,7.92,5.08,1751.85,151.38,43.86,14.43,96.1,Healthy,278
2026-12-28 11:11:52,,,,,,,,,96.0,Healthy,277
2026-12-29 11:11:52,61.85,0.17,7.81,5.06,1751.9,150.63,43.54,14.15,96.0,Healthy,276
2026-12-30 11:11:52,61.81,0.18,7.91,5.12,1750.6,150.49,43.52,14.89,96.0,Healthy,275
2026-12-31 11:11:52,62.21,0.17,7.92,5.22,1753.28,150.19,43.68,14.21,96.0,Healthy,274
2027-01-01 11:11:52,62.4,0.17,7.94,5.16,1751.98,151.45,44.04,14.59,95.9,Healthy,273
2027-01-02 11:11:52,61.64,0.2,7.8,5.19,1752.22,149.21,44.0,14.17,95.9,Healthy,272
2027-01-03 11:11:52,61.47,0.2,7.76,5.2,1753.41,148.66,43.49,14.11,95.9,Healthy,271
2027-01-04 11:11:52,62.44,0.15,7.93,5.14,1751.42,148.93,44.0,14.61,95.8,Healthy,270
2027-01-05 11:11:52,61.83,0.2,7.86,5.22,1751.29,149.72,43.74,14.21,95.8,Healthy,269
2027-01-06 11:11:52,61.59,0.18,7.84,5.01,1751.84,148.65,43.53,14.96,95.8,Healthy,268
2027-01-07 11:11:52,61.12,0.2,7.89,5.24,1750.01,150.4,43.39,14.64,95.7,Healthy,267
2027-01-08 11:11:52,61.33,0.18,7.94,4.98,1755.73,151.36,43.49,14.66,95.7,Healthy,266
2027-01-09 11:11:52,60.59,0.22,7.88,5.12,1748.84,151.52,43.67,14.35,95.7,Healthy,265
2027-01-10 11:11:52,61.49,0.21,7.9,5.2,1750.97,150.79,43.75,14.6,95.6,Healthy,264
2027-01-11 11:11:52,61.07,0.2,7.9,4.98,1747.91,149.56,43.25,14.77,95.6,Healthy,263
2027-01-12 11:11:52,61.36,0.22,7.92,5.09,1748.44,151.65,43.31,14.74,95.6,Healthy,262
2027-01-13 11:11:52,61.42,0.16,7.91,5.06,1749.44,150.25,43.55,14.81,95.5,Healthy,261
2027-01-14 11:11:52,61.34,0.18,7.84,5.07,1748.45,148.05,43.51,14.8,95.5,Healthy,260
2027-01-15 11:11:52,61.36,0.18,7.87,4.95,1745.38,150.45,43.3,14.44,95.5,Healthy,259
2027-01-16 11:11:52,61.21,0.14,7.89,5.09,1748.5,150.1,43.87,14.31,95.4,Healthy,258
2027-01-17 11:11:52,61.41,0.18,7.79,4.89,1750.07,154.18,43.79,14.39,95.4,Healthy,257
2027-01-18 11:11:52,61.8,0.18,7.83,5.11,1753.91,150.04,43.39,14.53,95.4,Healthy,256
2027-01-19 11:11:52,62.16,0.19,7.91,5.03,1749.84,151.06,43.8,14.95,95.3,Healthy,255
2027-01-20 11:11:52,61.76,0.22,7.85,5.12,1752.07,150.45,44.12,14.18,95.3,Healthy,254
2027-01-21 11:11:52,61.62,0.19,7.87,5.03,1752.88,154.08,43.21,14.6,95.3,Healthy,253
2027-01-22 11:11:52,61.8,0.24,7.88,5.13,1752.67,150.11,43.77,14.78,95.2,Healthy,252
2027-01-23 11:11:52,61.5,0.19,7.9,5.26,1752.11,149.27,43.77,14.46,95.2,Healthy,251
2027-01-24 11:11:52,,,,,,,,,95.2,Healthy,250
2027-01-25 11:11:52,61.37,0.21,7.84,5.24,1750.64,152.04,43.85,14.09,95.2,Healthy,249
2027-01-26 11:11:52,60.88,0.21,7.85,5.01,1751.03,152.52,43.33,14.38,95.1,Healthy,248
2027-01-27 11:11:52,61.39,0.19,7.9,5.19,1749.66,152.31,43.33,14.51,95.1,Healthy,247
2027-01-28 11:11:52,61.47,0.2,7.85,5.19,1751.08,150.31,43.31,14.62,95.1,Healthy,246
2027-01-29 11:11:52,61.32,0.15,7.81,5.18,1752.61,151.33,43.6,14.44,95.0,Healthy,245
2027-01-30 11:11:52,61.3,0.21,7.87,5.14,1748.06,152.14,43.63,14.46,95.0,Healthy,244
2027-01-31 11:11:52,60.88,0.16,7.9,5.06,1748.92,150.84,43.66,14.82,95.0,Healthy,243
2027-02-01 11:11:52,61.24,0.18,7.78,5.13,1751.42,148.16,43.36,14.04,94.9,Healthy,242
2027-02-02 11:11:52,61.49,0.23,7.9,4.95,1750.91,151.24,43.29,14.78,94.9,Healthy,241
2027-02-03 11:11:52,61.96,0.19,7.88,4.94,1750.3,150.93,43.73,14.84,94.9,Healthy,240
2027-02-04 11:11:52,61.24,0.24,7.91,4.96,1750.57,149.57,43.63,14.68,94.8,Healthy,239
2027-02-05 11:11:52,61.81,0.21,7.88,5.06,1750.6,150.68,43.42,14.78,94.8,Healthy,238
2027-02-06 11:11:52,61.95,0.19,7.96,4.96,1750.8,149.74,44.12,15.18,94.8,Healthy,237
2027-02-07 11:11:52,62.15,0.16,7.94,5.05,1749.06,151.23,43.9,14.85,94.7,Healthy,236
2027-02-08 11:11:52,61.84,0.2,7.84,5.07,1751.08,150.67,43.15,14.47,94.7,Healthy,235
2027-02-09 11:11:52,61.3,0.2,7.78,5.13,1749.08,150.26,43.49,14.6,94.7,Healthy,234
2027-02-10 11:11:52,61.36,0.2,7.94,4.98,1747.4,153.09,43.74,14.48,94.6,Healthy,233
2027-02-11 11:11:52,61.24,0.15,7.87,5.18,1750.47,151.07,43.28,14.47,94.6,Healthy,232
2027-02-12 11:11:52,61.84,0.2,7.84,5.04,1750.92,150.43,43.72,14.8,94.6,Healthy,231
2027-02-13 11:11:52,61.64,0.16,7.79,5.07,1751.13,150.81,43.19,14.62,94.5,Healthy,230
2027-02-14 11:11:52,61.92,0.19,7.93,5.12,1754.58,152.2,43.58,15.0,94.5,Healthy,229
2027-02-15 11:11:52,61.78,0.16,7.89,5.25,1751.83,150.8,43.62,14.37,94.5,Healthy,228
2027-02-16 11:11:52,61.79,0.16,7.92,5.13,1753.23,150.63,43.57,14.79,94.4,Healthy,227
2027-02-17 11:11:52,61.48,0.16,7.75,5.12,1749.54,152.21,43.58,14.48,94.4,Healthy,226
2027-02-18 11:11:52,61.63,0.19,7.85,5.11,1755.29,153.15,43.39,14.67,94.4,Healthy,225
2027-02-19 11:11:52,62.28,0.18,8.03,5.12,1749.97,152.38,43.49,15.03,94.4,Healthy,224
2027-02-20 11:11:52,62.25,0.18,7.93,5.16,1755.31,152.69,43.81,15.14,94.3,Healthy,223
2027-02-21 11:11:52,61.79,0.19,7.84,5.1,1751.66,154.01,44.14,14.42,94.3,Healthy,222
2027-02-22 11:11:52,61.71,0.19,7.93,5.05,1752.33,151.18,43.71,14.64,94.3,Healthy,221
2027-02-23 11:11:52,61.68,0.14,7.82,5.02,1750.46,150.63,43.43,14.37,94.2,Healthy,220
2027-02-24 11:11:52,61.95,0.17,8.04,5.07,1748.91,151.12,43.45,14.88,94.2,Healthy,219
2027-02-25 11:11:52,61.94,0.17,7.79,5.03,1752.45,150.94,43.58,14.42,94.2,Healthy,218
2027-02-26 11:11:52,61.72,0.23,7.96,5.22,1749.75,151.05,43.48,15.06,94.1,Healthy,217
2027-02-27 11:11:52,61.8,0.23,7.85,5.01,1749.18,151.88,43.85,14.41,94.1,Healthy,216
2027-02-28 11:11:52,61.74,0.17,7.84,5.07,1747.48,149.1,43.63,14.58,94.1,Healthy,215
2027-03-01 11:11:52,61.57,0.24,7.73,5.15,1748.81,150.67,44.56,13.84,94.0,Healthy,214
2027-03-02 11:11:52,61.1,0.25,7.92,5.07,1749.01,149.15,43.78,14.77,93.7,Healthy,213
2027-03-03 11:11:52,61.54,0.28,7.86,5.24,1750.16,151.11,43.5,14.34,93.4,Healthy,212
2027-03-04 11:11:52,61.51,0.31,7.78,5.14,1742.5,149.75,43.27,14.67,93.1,Healthy,211
2027-03-05 11:11:52,61.48,0.3,7.78,5.24,1748.23,150.38,43.55,13.98,92.7,Healthy,210
2027-03-06 11:11:52,61.74,0.33,7.92,5.21,1749.83,148.01,43.57,14.64,92.4,Healthy,209
2027-03-07 11:11:52,61.35,0.34,7.84,5.01,1748.01,149.55,44.12,14.63,92.0,Healthy,208
2027-03-08 11:11:52,62.21,0.3,7.78,5.1,1751.03,151.77,43.8,14.33,91.7,Healthy,207
2027-03-09 11:11:52,61.58,0.34,7.89,5.1,1750.54,149.24,43.5,14.74,91.3,Healthy,206
2027-03-10 11:11:52,61.72,0.34,7.85,5.22,1749.22,149.81,43.7,14.24,90.9,Healthy,205
2027-03-11 11:11:52,62.24,0.32,8.06,5.08,1753.91,149.77,44.41,15.12,90.5,Healthy,204
2027-03-12 11:11:52,62.44,0.31,8.0,4.92,1752.05,150.55,44.16,14.64,90.1,Healthy,203
2027-03-13 11:11:52,62.19,0.33,8.0,5.09,1747.07,149.48,43.94,14.75,89.7,Healthy,202
2027-03-14 11:11:52,61.9,0.36,7.98,4.89,1753.71,151.33,43.77,14.75,89.3,Healthy,201
2027-03-15 11:11:52,61.14,0.37,7.86,5.08,1752.33,150.29,43.57,14.5,88.9,Healthy,200
2027-03-16 11:11:52,61.96,0.34,7.95,5.0,1749.68,149.59,43.43,14.64,88.4,Healthy,199
2027-03-17 11:11:52,61.61,0.37,7.92,5.12,1751.58,149.8,43.62,14.46,88.0,Healthy,198
2027-03-18 11:11:52,61.01,0.35,7.78,5.04,1751.11,151.51,43.92,14.42,87.6,Healthy,197
2027-03-19 11:11:52,62.18,0.32,8.09,4.96,1749.13,150.34,44.32,14.74,87.1,Healthy,196
2027-03-20 11:11:52,60.97,0.25,8.05,4.98,1749.96,152.61,43.54,14.9,86.7,Healthy,195
2027-03-21 11:11:52,61.06,0.28,7.94,5.15,1751.27,151.73,43.94,14.43,86.3,Healthy,194
2027-03-22 11:11:52,61.72,0.25,7.99,5.09,1746.73,152.33,44.19,14.55,85.8,Healthy,193
2027-03-23 11:11:52,62.55,0.2,8.04,5.07,1747.34,152.78,43.56,15.25,85.4,Healthy,192
2027-03-24 11:11:52,61.57,0.22,8.04,5.15,1748.07,153.11,43.88,14.56,84.9,Healthy,191
2027-03-25 11:11:52,61.76,0.12,8.01,5.2,1748.07,150.4,43.84,14.54,84.5,Healthy,190
2027-03-26 11:11:52,62.92,0.18,8.13,5.03,1749.8,148.7,45.0,15.04,84.0,Healthy,189
2027-03-27 11:11:52,61.34,0.17,7.92,5.0,1743.65,147.37,43.49,14.45,83.6,Healthy,188
2027-03-28 11:11:52,61.72,0.14,7.95,5.13,1745.52,152.29,44.42,14.77,83.1,Healthy,187
2027-03-29 11:11:52,62.11,0.21,7.97,5.12,1750.39,152.29,44.05,14.9,82.7,Healthy,186
2027-03-30 11:11:52,61.89,0.21,8.0,4.99,1747.12,150.22,44.17,14.45,82.2,Healthy,185
2027-03-31 11:11:52,62.42,0.16,8.25,5.07,1746.87,152.17,44.68,15.46,81.8,Healthy,184
2027-04-01 11:11:52,61.42,0.13,8.02,4.97,1744.64,148.96,43.88,14.0,81.3,Healthy,183
2027-04-02 11:11:52,61.15,0.13,8.07,4.95,1747.52,149.12,44.07,14.93,80.9,Healthy,182
2027-04-03 11:11:52,61.62,0.11,8.04,5.1,1749.92,148.01,43.57,14.78,80.4,Healthy,181
2027-04-04 11:11:52,61.35,0.16,8.1,4.94,1745.78,149.64,44.11,15.12,80.0,Healthy,180
2027-04-05 11:11:52,60.64,0.2,7.89,4.89,1752.61,148.38,43.71,14.5,79.6,Slight Wear,179
2027-04-06 11:11:52,61.24,0.2,8.12,5.03,1752.25,150.29,43.84,15.42,79.1,Slight Wear,178
2027-04-07 11:11:52,61.72,0.26,8.16,5.0,1745.97,149.24,44.05,14.45,78.7,Slight Wear,177
2027-04-08 11:11:52,61.97,0.21,8.22,4.95,1747.45,147.95,44.05,15.87,78.2,Slight Wear,176
2027-04-09 11:11:52,62.36,0.41,8.11,5.13,1751.19,147.69,45.08,15.14,77.8,Slight Wear,175
2027-04-10 11:11:52,61.89,0.34,8.23,5.02,1749.48,150.13,44.76,14.94,77.4,Slight Wear,174
2027-04-11 11:11:52,62.65,0.31,8.25,5.1,1746.32,148.9,45.2,15.44,76.9,Slight Wear,173
2027-04-12 11:11:52,65.22,0.92,10.18,4.85,1733.22,143.36,48.56,19.16,76.5,Slight Wear,172
2027-04-13 11:11:52,62.53,0.51,8.19,5.11,1748.4,149.46,44.98,15.53,76.1,Slight Wear,171
